AUTHOR,TITLE,PUBLISHER,BOOK_GRADE,JACKET_CONDITION,BINDING_TYPE,BOOK_TYPE,ISBN ,PUBLISHER_YEAR,EDITION,PAGES,NOTES
"Connelly, Michael",The Brass Verdict,Grand Central Pub,As New,No Jacket,Soft Cover,Mystery,97812,209,NULL,580,NULL
"Luce, Henry R.","Life, the American Revolution",Andrew Helskell,Very Good,No Jacket,Soft Cover,Magazine,NULL,1050,NULL,92,NULL
"Wanamaker, John",A Friendly Guide-book to Philadelphia,John Wanamaker,Fair,No Jacket,Soft Cover,Historical,NULL,1682,NULL,48,NULL
" Doyle, Arthur Conan",The Return of Sherlock Holmes,Readers Digest Association,Very Good,Good,Hard Cover,Mystery,NULL,1713,NULL,NULL,NULL
"Scott, Sir Walter",The Poetical Works of Sir Walter Scott,The American News Company,Poor,No Jacket,Hard Cover,Memoir,NULL,1771,NULL,740,NULL
"Mitchell, & Hinman",Mitchells Reference and Distance Maps,Mitchell and Hinman,Poor,No Jacket,Hard Cover,Reference,NULL,1836,NULL,342,NULL
"Poe, Edgar Allen",Histoires extraordinaires,Michel Lvy Frres,Poor,Fair,Soft Cover,Horror,NULL,1856,1,287,Charles Baudelaire (translator) to French
"Darwin, Charles",The Origin of Species,Hurst & Company,Good,No Jacket,Hard Cover,Historical,NULL,1859,NULL,501,NULL
"Brady, Mathew",Mathew Bradys Illustrated History of the Civil War,The Fairfax Press,As New,Very Good,Hard Cover,Historic,NULL,1863,NULL,512,NULL
Santa Claus,Around the World with Santa Claus,Steinmart Publishing,As New,No Jacket,Soft Cover,Childs Book,NULL,1866,NULL,14,NULL
"Collins, Wilkie ",The Moonstone,Great Britian Penguin Books,Fair,Good,Soft Cover,Horror,NULL,1868,NULL,NULL,NULL
"Sanders, Charlels W. A.M.","Union Reader, Number Two","Ivison, Blakeman, Taylor & Co.",Poor,No Jacket,Hard Cover,Collector,NULL,1872,NULL,208,some torn
"King, Edward",Kentuckys Love or Roughing it Around Paris,Lee and Shepard,Poor,No Jacket,Hard Cover,Adventure,NULL,1873,NULL,NULL,NULL
"Alcott, Louisa May",Under the Lilacs,M. A. Donohue & Co.,NULL,NULL,Hard Cover,Collector,NULL,1878,NULL,305,NULL
"Hollick, F. Dr.",The Origin of Life,"David McKay, Publisher",Poor,No Jacket,Hard Cover,Medical,NULL,1878,NULL,932,NULL
"Sprague, Homer B., Ph.D.",Irvings Sketch-Book,Ginn and Company,Poor,No Jacket,Hard Cover,Education,NULL,1878,NULL,156,NULL
"Habberton, John",Helens Babies,The F. M. Lupton Pub. Co.,Fair,No Jacket,Hard Cover,Fiction,NULL,1881,NULL,NULL,NULL
