Author,Title,Publisher,Grade,JacketCondition,Binding,BookType,ISBN ,PublishYear,Edition,Pages,Notes
"Connelly, Michael",The Brass Verdict,Grand Central Pub,As New,No Jacket,Soft Cover,Mystery,9.78E+12,209,,580,
"Luce, Henry R.","Life, the American Revolution",Andrew Helskell,Very Good,No Jacket,Soft Cover,Magazine,,1050,,92,
"Wanamaker, John",A Friendly Guide-book to Philadelphia,John Wanamaker,Fair,No Jacket,Soft Cover,Historical,,1682,,48,
" Doyle, Arthur Conan",The Return of Sherlock Holmes,Reader's Digest Association,Very Good,Good,Hard Cover,Mystery,,1713,,,
"Scott, Sir Walter",The Poetical Works of Sir Walter Scott,The American News Company,Poor,No Jacket,Hard Cover,Memoir,,1771,,740,
"Mitchell, & Hinman",Mitchell's Reference and Distance Maps,Mitchell and Hinman,Poor,No Jacket,Hard Cover,Reference,,1836,,342,
"Poe, Edgar Allen",Histoires extraordinaires,Michel Lévy Frères,Poor,Fair,Soft Cover,Horror,,1856,1st Edition,287,Charles Baudelaire (translator) to French
"Darwin, Charles",The Origin of Species,Hurst & Company,Good,No Jacket,Hard Cover,Historical,,1859,,501,
"Brady, Mathew",Mathew Brady's Illustrated History of the Civil War,The Fairfax Press,As New,Very Good,Hard Cover,Historic,,1863,,512,
Santa Claus,Around the World with Santa Claus,Steinmart Publishing,As New,No Jacket,Soft Cover,Child's Book,,1866,,14,
"Collins, Wilkie ",The Moonstone,Great Britian Penguin Books,Fair,Good,Soft Cover,Horror,,1868,,,
"Sanders, Charlels W. A.M.","Union Reader, Number Two","Ivison, Blakeman, Taylor & Co.",Poor,No Jacket,Hard Cover,Collector,No ISBN,1872,,208,some torn
"King, Edward",Kentucky's Love or Roughing it Around Paris,Lee and Shepard,Poor,No Jacket,Hard Cover,Adventure,None,1873,,,
"Alcott, Louisa May",Under the Lilacs,M. A. Donohue & Co.,,,Hard Cover,Collector,No ISBN,1878,,305,
"Hollick, F. Dr.",The Origin of Life,"David McKay, Publisher",Poor,No Jacket,Hard Cover,Medical,,1878,,932,
"Sprague, Homer B., Ph.D.",Irving's Sketch-Book,Ginn and Company,Poor,No Jacket,Hard Cover,Education,No ISBN,1878,,156,
"Habberton, John",Helen's Babies,The F. M. Lupton Pub. Co.,Fair,No Jacket,Hard Cover,Fiction,None,1881,,,
Manual of Universal Applicaion,The Successful Housekeeper,M. W. Ellsworth & Co.,Fair,No Jacket,Hard Cover,Education,None,1882,,608,
"Mateaux, C. L.",The Wonderland of Work,Cassell & Company. Limited,Poor,No Jacket,Hard Cover,Historical,None,1884,,385,
"Mateaux, Rose & C. L. Joshua",Wonderland of Work,The J. Dewing Co.,,,Hard Cover,Collector,No ISBN,1884,,385,
"Macy, Jesse, A.M.",Our Government,Ginn and Company,Poor,No Jacket,Hard Cover,Historical,None,1886,,238,
"Owens, Mrs. Frances E.",Mrs. Owens Cook Book and Useful Household Hints,J. M. Ball,Poor,No Jacket,Hard Cover,Cook Book,None,1886,,500,
"Chase, A. W., M.D.","Dr. Chase's Third. Last, and Complete Receipt Book",F.. B. Dickerson Co.,Poor,No Jacket,Hard Cover,Autobiography,,1887,,870,
"Moore, Thomas","Lalla Rookh, an Oriental Romance",Thomas Y Crowell & Co.,Poor,No Jacket,Hard Cover,Collector,,1888,,290,
"Johonnot, James",Stories of the Olden Time,D. Appleton and Company,Poor,No Jacket,Hard Cover,Novel,,1889,,254,
"Wiggin, Kate Douglas",The Story of Patsy,Houghton Miffin Co.,Good,No Jacket,Hard Cover,Collector,No ISBN,1889,,68,
"Twain, Mark",A CONNECTICUT YANKEE IN KING ARTHUR'S COURT,Century Mag,Fair,Poor,Hard Cover,,,1889,1st Edition,,
"Eadie, Bettty J.",Antiques of American Childhood,Bramhall House,Good,Good,Hard Cover,Collector,,1890,,351,
"Riley, James Whitcomb",Riley Child-Rhymes,The Bobbs-Merrill Co.,Very Good,No Jacket,Hard Cover,Child's Book,None,1890,,188,
"Bierce, Ambrose",In the Midst of Life: Tales of Soldiers and Civilians,E.L.G. Steele,Poor,No Jacket,Hard Cover,Horror,,1891,,203,
"Graham, Frank D. & Emery, Thomas J.",Audels Carpenters and Builders Guide,"Theo. Audel & Co., Publishers",Very Good,Fair,Hard Cover,Education,None,1892,,,
"Bierce, Ambrose",In the Midst of Life: Tales of Soldiers and Civilians,"Published by Chatto & Windus, London",Fair,No Jacket,Hard Cover,Horror,,1892,,244,
"Lossing, Benson J.",The History of the United States,Gay Brothers and Co.,Poor,No Jacket,Hard Cover,Historical,None,1893,,798,
"Burnett, Frances Hodgson",Piccino and Other Child Stories,Charles Scribner & Son,Poor,No Jacket,Hard Cover,Child's Book,None,1894,,,
"Field, Eugene",With Trumpet and Drum,Charles Scribner & Son,Good,No Jacket,Hard Cover,Collector,No ISBN,1895,,126,
"Chambers, Robert W. ",The King in Yellow, F. Tennyson Neely,Good,Good,Hard Cover,Horror,,1895,,253,
"Machen, Arthur",The Three Imposters,John Lane,Fair,No Jacket,Hard Cover,Horror,,1895,1st Edition,215,
"Malory, Thomas",Le Morte d'Arthur ,Dent,Good,No Jacket,Hard Cover,Prose,,1895,,,Middle English
"Cyr, Ellen M.",The Children's Third Reade,Ginn & Company,Poor,No Jacket,Hard Cover,Child's Book,,1896,,255,This book is in very poor condition.
"Field, Eugene",Love-Songs of Childhood,Charles Scribner & Son,Fair,No Jacket,Hard Cover,Child's Book,,1896,,111,
McGuffey,McGuffey's Third Eclectic Reader,American Book Co.,Poor,No Jacket,Hard Cover,Education,,1896,,208,
"Von Moser, Gustav",Der Bibliothefar,D. C. Heath & Co.,Poor,No Jacket,Hard Cover,Education,No ISBN,1897,,178,
"Joynes, Edward S.",Der Zerbrochene Krug,D. C. Heath & Co.,Poor,No Jacket,Hard Cover,Education,No ISBN,1898,,76,
"Pierson,, Clara Dillingham",Among the Forest People,"E. P. Dutton & Company, Inc.",Fair,No Jacket,Hard Cover,Child's Book,,1898,,219,
"Lentz, Max",L'Urrabbiata Heyse,American Book Company,Poor,No Jacket,Hard Cover,Education,No ISBN,1899,,87,
"Lyman, Henry M., M.D. + Various Others",The New American Family Physician,George M. Hill Co.,Fair,No Jacket,Hard Cover,Collector,,1899,Revised Edition,1157,"This is an extremely large book, and considering the age is in fairly good conditon."
"Cyr, Ellen M.",The Children's Reader,Ginn and Company,Poor,No Jacket,Hard Cover,Child's Book,No ISBN,1900,,257,Book is in very poor shape
"Fullerton, Anna M. , M.D.",A Handbook of Obstetric Nursing,P. Blakiston's Son and Co.,Poor,No Jacket,Hard Cover,Health,,1900,,262,
"Mertz, Ursula R.",Composition Dolls,Collector Books,Very Good,No Jacket,Hard Cover,Collector,1-57432-080-7,1900,,390,
"Tolstoy, Count Leo",War and Peace,The Book League of America,Poor,No Jacket,Hard Cover,Novel,None,1900,,537,
"Baum, L. Frank",Mother Goose in Prose,Bounty Books,Very Good,Very Good,Hard Cover,Child's Book,None,1901,,265,
"James, Hartwell",Sea Kings and Naval Heroes,Henry Altemus Co.,Poor,No Jacket,Hard Cover,Adventure,,1901,,260,
"Williams, Evangelist M. B.",Sex Problems as related to Health,Fleming H. Revell Company,Fair,No Jacket,Hard Cover,Medical,None,1901,,,
"Ashton, William Easterly, M.D.",Essentials of Obstetrics,W. B. Saunders & Company,Fair,No Jacket,Hard Cover,Medical,None,1902,,,
"Barrie, J. M.",The Little White Bird or Adventures in Kensington Gardens,Charles Scribner & Son,,,Hard Cover,Collector,No ISBN,1902,,349,
"Cox, Palmer",Palmer Cox's Fairy Tales,Hurst & Company,Poor,No Jacket,Hard Cover,Child's Book,,1902,,,
"Fielding, Henry",The History of the Adventures of Joseph Andrews and His Friend Mr. Abraham Adams,The Century Co.,,,Hard Cover,Collector,No ISBN,1902,,320,
"Goldsmith, Oliver & Mackenzie, Henry","Sir Roger De Coverley, The Vicar of Wakefield and the Murder at the Vicarage",The Century Co.,,,Hard Cover,Collector,No ISBN,1902,,94,
"McCutcheon, George Barr",Castle Craneycrow,Grosset & Dunlap,Fair,No Jacket,Hard Cover,Novel,None,1902,,391,
"Reade, Charles",It is Never Too Late to Mend,The Century Co.,Very Good,No Jacket,Hard Cover,Education,No ISBN,1902,,699,
"Reed, Myrtle",Lavender and Old Lace,Grosset & Dunlap,Poor,No Jacket,Hard Cover,Collector,No ISBN,1902,,267,
"Richardson, Samuel",Pamela,The Century Co.,,,Hard Cover,Collector,No ISBN,1902,,533,
"Steinbeck, John",Of Mice and Men,Penguin Books,As New,No Jacket,Soft Cover,Novel,140177396,1902,,107,
"Trollope, Anthony",Barchester Towers,The Century Co.,,,Hard Cover,Collector,No ISBN,1902,,515,
"Beman, Wooster Woodruff and David Eugene Smith",Solid Geometry,Ginn & Company,Poor,No Jacket,Hard Cover,Education,,1903,,382,
"Collins, Wilkie",The Moonstone,The Century Co.,Very Good,No Jacket,Hard Cover,Collector,No ISBN,1903,,515,
"Dodge, Mary Mapes",Hans Brinker or The Silver Skates: A Story of Life In Holland,Charles Scribner & Son,,,Hard Cover,Collector,,1903,,393,
"Lever, Charles",The Confessions of Harry Lorrequer,The Century Co.,Very Good,No Jacket,Hard Cover,Collector,No ISBN,1903,,494,
"Wright, Harold Bell","That Printer of Udel's, a Story of the Middle West",A. L. Burt Company,Poor,No Jacket,Hard Cover,Novel,,1903,,468,
Balzac,"Eugenie Grandet, A Study of Woman, Etc",The Century Co.,Good,No Jacket,Hard Cover,Education,No ISBN,1904,,383,
Balzac,"Father Goriot, The Unconscious Humorist, Gaudissart The Great",The Century Co.,Very Good,No Jacket,Hard Cover,Novel,No ISBN,1904,,392,
Balzac,The Rise and Fall of Cesar Birotteau and the Secrets of a Princess,The Century Co.,,,Hard Cover,Collector,No ISBN,1904,,387,
"Montgomery, Frances Trego","Billy Whiskers, Jr.",The Saalfield Publishing Co.,Fair,No Jacket,Hard Cover,Child's Book,None,1904,,,
"Shutts, George C.","Plane Geometry, Suggested Method","Atkinson, Mentzer, & Grover",Poor,No Jacket,Hard Cover,Education,None,1904,,403,
"Williams, Walter",The State of Missouri,E. W. Stephens,Fair,No Jacket,Hard Cover,Autobiography,,1904,,592,
"Christyi, Howard Chandler",Drawings in Black & White,"Moffat, Yard & Company",Poor,No Jacket,Hard Cover,Education,No ISBN,1905,,?,
"Grover, Eulalie Osgood",The Overall Boys,Rand McNally & Company,Good,No Jacket,Hard Cover,Child's Book,None,1905,,,
