"AUTHOR","BOOK_COUNT"
Sanders Lawrence,27
Clark Mary Higgins,26
Christie Agatha,23
Jance J A,22
Grafton Sue,22
Daheim Mary,21
Kellerman Jonathan,19
Brown Sandra,18
Braun Lillian Jackson,17
Cornwell Patricia,17
Patterson James,17
Sheldon Sidney,16
Cussler Clive,16
Roberts Nora,16
Garwood Julie,16
Lescroart John,15
Kellerman Faye,15
Grisham John,14
Johnston Terry C,13
Disney Walt,13
Myers Tamar,13
Sandford John,13
Clancy Tom,13
Johansen Iris,12
Deaver Jeffery,11
Hoag Tami,11
Higgins Jack,11
Rohmer Sax,10
Ludlum Robert,10
Connelly Michael,10
Evanovich Janet,10
Gilman Dorothy,10
Gardner Earl Stanley,10
Burke Jan,9
Hillerman Tony,9
Crichton Michael,9
Koontz Dean,9
Scottoline Lisa,9
Churchill Jill,9
King Stephen,9
Babson Marian,8
Stewart Mary,8
Sandfford John,8
OConnell Carol,8
Wolzien Valerie,7
Whitney Phyllis A,7
Cook Robin,7
Wambaugh Joseph,7
Albert Susan Wittig,7
Delinsky Barbara,7
Baldacci David,6
Francis Dick,6
White Stephen,6
Pickard Nancy,6
McNaught Judith,6
Blanc Nero,6
Canfield & Hansen,5
Spyri Johanna,5
Mac Donald John D,5
Sparks Nicholas,5
Whitney Phylis A,5
Luce Henry R,5
Burke James Lee,5
Weiner Eric,5
Auel Jean M,5
Steel Danielle,5
Coulter Catherine,5
Gardner Lisa,5
Higgins Clark Mary,5
MacDonald John D,4
Dr Seuss,4
Davidson Diane Mott,4
Johnstone William W,4
Maclean Alistair,4
James P D,4
Grimes Martha,4
Hope Laura Lee,4
Richdale Brad,4
Clark Mary Jane,4
Hitchcock Alfred,4
Hall Parnell,4
Blish James,4
Block Lawrence,4
Braun Lilian Jackson,4
Clark Carol Higgins,4
Coonts Stephen,4
Shakespeare William,4
LAmour Louis,4
Palmer Michael,4
Jackson Lisa,4
Doherty P C,4
Child Lee,4
Turow Scott,4
Peters Ellis,4
Comp USA Computer Training,4
Bureau of Business Practice,4
Sheff Alexander,4
Hurwood Bernhardt J,4
Jablonski Edward,4
Keating H R F,4
Martin Ann M,4
Follett Ken,4
Chrichton Michael,4
May Julian,3
Preston Douglas & Child Lincoln,3
Crockett James Underwood,3
Krantz Judith,3
Peretti Frank,3
Redfield James,3
Evans Nicholas,3
Melville Herman,3
Nourse James G,3
Balzac,3
Kline R E Pattison,3
Shaw Rebecca,3
Slaughter Karin,3
Stein Philip L & Rowe Bruce M,3
Coben Harlan,3
Dunsany Lord,3
Westlake Donald,3
