"TITLE","AUTHOR","EDITION"
"10 Stupid Things Couples Do to Mess Up Their Relationships",Schlessinger Laura Dr,"0"
"101 Dalmations - A Christmas For-Giving",Spurr Elizabeth,"1.0"
"1st to Die",Patterson James,"0"
"2nd Chance",Patterson James with Andrew Gross,"0"
"9-11 A Tribute",Press Association,"0"
A Bend in the Road, Sparks Nicholas,"0"
A Crossword to Die For,Blanc Nero,"0"
A Darkness More Than Night,Connelly Michael,"0"
A Day Late and a Dollar Short,McMillan Terry,"1.0"
A Few Minutes Past Midnight,Kaminsky Stuart M,"1.0"
A Light on the Veranda,Ware Ciji,"0"
A Puzzle in a Pear Tree,Hall Parnell,"0"
A Streetcar Named Expire,Daheim Mary,"0"
A Whistling Woman,Byatt A S,"0"
A Whistling Woman,Bryatt AS,"0"
About That Man,Woods Sherryl,"0"
Absolute Power,Limbaugh David,"0"
America,Coonts Stephen,"0"
An Accidental Woman,Delinsky Barbara,"0"
Angels Flight,Connelly Michael,"0"
Area 7,Reilly Matthew,"0"
Arthur and the Lost Diary,Krensky Stephen,"0"
Autocad and Its Applications Basics,Shumaker Terence M & Madsen David A,"0"
Beach House,Patterson James and Peter De Jonge,"0"
Beauty and the Beast Friends are Sweet,Liberts Jennifer,"0"
Before I Say Goodbye,Higgins Clark Mary,"0"
Big Trouble for a Little Lady,McGraw Marja,"0"
Birds of Prey,Jance J A,"0"
Bitterroot,Burke James Lee,"0"
Black House,King Stephen,"0"
Black House,King Stephen & Straub Peter,"0"
Blind Sighted,Slaughter Karin,"0"
Blindsighted,Slaughter Karin,"0"
Blood Diamonds,Land Jon,"0"
Bloodroot,Albert Susan Wittig,"0"
Body of Lies,Johansen Iris,"0"
Bubbles Unbound,Strohmeyer Sarah,"0"
Bubbles in Trouble,Strohmeyer Sarah,"0"
CSI: Crime Scen Investigation,Collins Max Allan,"0"
Cane River,Tademy Lalita,"0"
Cat Laughing Last,Murphy Shirley Rousseau,"0"
Cat in a Midnight Choir,Douglas Carole Nelson,"0"
Chasing The Dime,Connelly Michael,"0"
Chesapeake Blue,Roberts Nora,"0"
Chosen Prey,Sandford John,"0"
City of Bones,Conelly Michael,"0"
City of Bones,Connelly Michael,"0"
Claws & Effect,Brown Rita Mae,"0"
Clifford The Big Red Dog Teachers Pets,Mills Liz,"0"
Close To You,Clark Mary Jane,"1.0"
Close To You,Clinton Bill,"0"
Close to You,Clark Mary Jane,"1.0"
Cold Blooded,Jackson Lisa,"0"
Cold Paradise,Woods Stuart,"0"
Combat - Volume Two,Coonts Stephen,"0"
Courting Trouble,Scottoline Lisa,"0"
Crepes of Wrath,Myers Tamar,"0"
Crime School,OConnell Carol,"0"
