"TITLE","AUTHOR","EDITION"
"101 Uses for Craftstrip",Vaughn Cy,"0"
"13 at Dinner",Christie Agatha,"0"
"1923 Sears Roeuck Catalogue",Schroeder Joseph J Jr,"0"
"1981 Writers Market",Brandon Linda Tracey,"0"
"1984", Orwell George,"0"
"20000 Leagues Under the Sea", Verne Jules,"0"
"24 Essential Lessons for Investment Success",ONeil William J,"0"
"25 Modern Stories of Mysteryi",Stong Phil,"0"
"50 Fishing Hot Spots",Twilegar Burt Brown Jack & Potter Jim,"0"
"500 Little Known Stories from American History",Jacobs J Vernon,"0"
"70000 to One",Reynolds Quentin,"0"
"9-11 A Tribute",Press Association,"0"
A 2nd Helping of Chicken Soup for the Soul,Canfield Jack & Hansen Mark Victor,"0"
A CONNECTICUT YANKEE IN KING ARTHURS COURT,Twain Mark,"0"
A CONNECTICUT YANKEE IN KING ARTHURS COURT,Twain Mark,"1.0"
A Celebration of American Dolls,McGonagle Dorothy A,"0"
A Childs Book of Old Verses,Smith Jeesie Wilcox,"0"
A Christmas Carol,Dickens Charles,"0"
A Coffin for Charley,Butler Gwendoline,"0"
A Compelling Case,Underwood Michael,"0"
A Concise Treasury of Great Poems,Untermeyer Louis,"0"
A Dark Coffin,Butler Gwendoline,"0"
A Dark and Hungry God Arises,Donaldson Stephen R,"0"
A Daughter of The Land,Porter Gene Stratton,"0"
A Daughter of the Land,Porter Gene Stratton,"0"
A Day in Japan,Moreton Daniel and Samantha Berger,"0"
A Death in the Family,Agee James,"0"
A Dismal Thing to Do,Macleod Charlotte,"0"
A Double Coffin,Butler Gwendoline,"0"
A Dram of Poison,Armstrong Charlotte,"0"
A Falcon for a Queen,Gaskin Catherine,"0"
A Flight from Paris,Webster Noah,"0"
A Friendly Guide-book to Philadelphia,Wanamaker John,"0"
A Glimpse of Stocking,Gage Elizabeth,"0"
A Good Marriage,Engelbreit Mary,"0"
A Guide Book of United States Coins,Yeoman RS,"37.0"
A Guide Book of United States Coins,Yeoman RS,"38.0"
A Guide Book of United States Coins,Yeoman RS,"44.0"
A Guide to Confident Living,Peale Norman Vincent,"0"
A Handbook of Obstetric Nursing,Fullerton Anna M  MD,"0"
A Hangmans Dozen,Hitchcock Alfred,"0"
A History of Astronomy,Dreyer J L E,"0"
A Hobby of Murder,Ferrars E X,"0"
A Laboratory Guide for a Course in General Botany,Bonar Lee and Roush Lucile and the Late Richard M Holman,"0"
A Lady of King Arthurs Court,Sterling Sara Hawks,"0"
A Long Finish,Dibdin Michael,"0"
A Long Line of Dead Men,Block Lawrence,"0"
A Man Called Peter,Marshall Catherine,"0"
A Manuel of Engineering Drawing,French Thomas E & Vierck Charles J,"1.0"
A Miniature History of Music,Scholes Percy A,"0"
A Morning for Flamingos,Burke James Lee,"0"
A Murder is Announced,Christie Agatha,"0"
A Purple Place for Dying,John D MacDonald,"0"
A Purple Place for Dying and Two More Books,MacDonald John,"0"
A Rose for Her Grave,Rule Ann,"0"
A Ruling Passion,Michael Judith,"0"
A Shoot in Cleveland,Roberts Les,"0"
A Short History of Nursing,Dock Lavinia L RN,"0"
A Stranger is Watching,Clark Mary Higgins,"0"
A Tan and Sandy Silence,MacDonald John D,"0"
A Thief of Time,Hillerman Tony,"0"
A Tournament of Murders,Doherty P C,"0"
A Treasury of Laughter,Untermeyer Louis Edited,"0"
A Vagabond Journey Around the World,Franck Harry A,"0"
A Visit to Santa Claus Land,Cox Eva Winn,"0"
A Whistling Woman,Byatt A S,"0"
A Whole Bit Better,Myler Dale Ron and Bob,"0"
A Wrinkle in Tiem,LEngle Madeleine,"0"
"A"" is for Alibi""",Grafton Sue,"0"
ACSM Fitness Book,American College of Sports Medicine,"0"
Abe Lincoln Gets His Chance,Cavanah Frances,"0"
Absolute Power,Baldacci David,"0"
According to Hoyle,Frey Richard L,"0"
Act of Violence,Yorke Margaret,"0"
Admit to Murder,Yorke Margaret,"0"
Adventures for Readers Book One,Ross Jacob M,"0"
Age of Adventure,DeSantillana Giorgio,"0"
Age of Reason,Hampshire Stuart,"0"
Aids to Engineers Examinations,Hawkins N M E,"0"
Airport,Hailey Arthur,"0"
Alfred Hitchcock Presents 12 Stories for Late at Night,Hitchcock Alfred,"0"
All Aboard Cars,Weir Catherine Daly,"0"
All About Electricity,Freeman Ira M,"0"
All About Story Book,Piper Watty,"0"
All Grass Isnt Green,Gardner Earl Stanley,"0"
American Gigolo,Harris Timothy,"0"
American Government Problems of Democracy,Magruder Frank Abbott PhD,"0"
American Government and Politics,Beard Charles A,"1.0"
American Government and Politics,Charles Beard,"5.0"
American History Pre-Colonial Reconstruction: Vol 1,Maddox Robert James Edited,"0"
American History Pre-Colonial Through Reconstruction Vol 1,Maddox Robert James Edited,"0"
Americas Army,War Great,"0"
Americas Historylands,National Geographic,"0"
Among the Forest People,Pierson Clara Dillingham,"0"
An ABC of Witchcraft Past and Present,Valiente Doreen,"0"
An Artistic Way to Go,Jeffries Roderic,"0"
Analog,Buckley Bob,"0"
And to Think That I Saw it on Mulberry Street,Dr Seuss,"0"
Angela Davis: An Autobiography,Davis Angela,"0"
Angels & Demons,Brothers Dr Joyce,"0"
Anomalies and Curiosities of Medicine,Gould George M MD & Walter L Pyle MD,"0"
Antiques of American Childhood,Eadie Bettty J,"0"
Apostle in a Top Hat,Derum James Patrick,"0"
Apricot ABC,Miles Miska,"0"
Arizona Magazine,Walter Steven,"0"
Arizona the Grand Canyon State,Walker  Steven L,"0"
Aroound the World in 2000 Pictures,Runyon A Milton and Bergane Vilma F,"0"
Around the World with Santa Claus,Santa Claus,"0"
Ashes to Ashes,Hoag Tami,"0"
Asking Questions,Keating H R F,"0"
Atlas of the World and Gazetteer,The Literary Digest,"0"
Audels Carpenteers and Builders Guide #4,Graham Frank D & Emery Thomas J,"0"
Audels Carpenters and Builders Guide,Graham Frank D & Emery Thomas J,"0"
Audels Modern Carpenters and Builders Guide No 3,Graham Frank D And Thomas J Emery,"0"
Audels Modern caprenters and Builders Guide No 4,Graham Frank D & Emery Thomas J,"0"
Australia,Chesson Betsey and Chanko Pamela,"0"
Authorities on Oratory Us of illustrat Ions,Kline R E Pattison,"0"
Authorities on Oratory Use of Illustrations After Dinner Speaking Arguments,R E Pattison Kline,"0"
Auto-Mechanics Course 1 the Engine,Kuns Ray F,"0"
Auto-mechanics Course 3 Automovtive Electricity,Kuns Ray F,"0"
Automotive Fundamentals,Venk Ernest A & Billeit Walter E,"0"
Autumn Madness,Wallace Francis,"0"
Autumn Maze,Cleary Jon,"0"
Aztec Ruins,Corbett John L,"0"
"B"" is for Burglar""",Grafton Sue,"0"
Bambi Grows Up,Disney Walt,"0"
Barchester Towers,Trollope Anthony,"0"
Barrons How to Prepare for College Entrance Exam CLEP,Doster Ward Hockett Poitras Bjork William C Ruth Shirleyi O Adrian W Robert,"0"
Barrons How to Prepare for College-Level Exam Program 5th Ed,Doster Ward Hockett Poitras Bjork William C Ruth Shirley O Adrian W Robert,"0"
Barrons Rgents Exams and Answers,Bristow William H,"0"
Basic Review of Citinship Education,Varga Judy,"0"
Basic Typewriting Drills,Wanous & Wanous,"0"
Basic Typewriting Drills,Wanous S J & Wanousm Edward E,"0"
Bat Wing,Rohmer Sax,"0"
Beautiful Joe,Saunders Marshall,"0"
Beauty and the Beast,Teitelbaum Michael,"0"
Beauty and the Beast Friends are Sweet,Liberts Jennifer,"0"
Beele Bailey Potato Fancakes,Walker Mort,"0"
Before the Sun Goes Down,Howard Elizabeth Metzger,"0"
Beginning Algebra,Lial Margaret L & Miller Charles D,"0"
Beginning Spanish,Da Silva Zenia Sacks,"0"
Best Friends,Howard Anne,"0"
Betty Crockers All Time Favorites,Crocker Betty,"0"
Beyond the Norm,Miller Norm,"0"
Bible Helpers,Gray Ruth S,"0"
Billy Whiskers Jr,Montgomery Frances Trego,"0"
Birds,Dorfman Gillian,"0"
Birds of North America,Robbins Chandler S Bruun Bertel & Zim Herbert S,"0"
Birds of Prey,Jance J A,"0"
