"PUBLISHER","BOOK_COUNT"
Pocket Books,128
Detective Book Club,126
Bantam Books,122
Berklely Books,80
Warner Books,77
Ballantine Books,72
Avon Books,52
Simon & Schuster,48
Scholastic,44
Fawcett Crest,40
Bantam Book,39
Random House,38
A Signet Book,38
G P Putnams Sons,37
Avon,36
Jove Books,35
William Morrow,32
Signet,32
Scholastic Inc,25
Grosset & Dunlap,24
Doubledaiy & Co,24
Little Brown & Co,22
A Dell Book,20
St Martins Press,20
Readers Digest,20
Harper Collins,19
Harper Paperbacks,16
Houghton Miffin Co,16
St Martins Paperbacks,16
Fawcett Books,16
Alfred A Knoff,16
Aven Books,15
Island Books,15
Prentice Hall Inc,15
Simon & Shuster,15
The Century Co,14
G P Putnam Sons,14
Charles Scribner & Son,14
Dell,13
Warner Vision Books,13
Berkley Books,13
Berkely Books,12
Fawcett Gold Medal,12
Golden Press,12
Doubleday,11
Time Inc,11
McKinlay Stone & Mackenzie,11
Time Life Books,11
McGraw Hill,10
Harper Torch,10
Crown Publishers,10
Rand McNally & Company,10
Silhouette Books,10
E P Dutton & Company Inc,9
Harper and Rowe,9
Harper & Row,9
Writers Digest Books,9
Pocket Star Book,9
Hobby House Press,9
Vintage Books,8
Health Communications,8
St Martines Paperbacks,8
Western Publishing,8
Delacorte Press,7
Harlequin,7
Penguin Books,7
Barrons Educational Series Inc,7
Dell Book,7
A Del Book,7
United Federation of Doll Clubs Inc,7
Walter J Black Inc,7
A Bantam Book,6
Leisure Books,6
Viking,6
Mira,6
Time Warner,6
Macmillan Publishing Company,6
Faucett Crest,6
Dodd Mead & Co,6
Zebra Books,6
North American Institute,6
Hyperion,6
Crown Publishers Inc,6
Ivy Books,6
McGraw-Hill Book Company Inc,5
New American Library,5
Pocket Star Books,5
Popular Library,5
Del Ray,5
Collier Books New York,5
Harlequin Books,5
Scribner,5
Barnes & Noble,5
Stein and Day,5
The Viking Press,5
Puffin Books,5
Tom Dougherty,5
National Geographic,5
Pinnacle Books,5
Pocket Star,5
Henry Holt & Co,5
Villard Books,5
Bureau of Business Practices,5
St Martines Press,4
The Dial Press,4
Dell Publishing Co,4
Anchor Books,4
Farrar Straus & Giroux,4
Rodale Press,4
A Yearling Book,4
Troll Associates,4
Disney Press,4
W W Norton & Co,4
Harper & Brothers,4
A L Burt Company,4
Harper Perennial,4
Howell-North,4
Los Angeles Times,4
Harper Business,4
Washington Square Press,4
The MacMillan Company,4
Harcourt Brace & World Inc,4
Mentor Book,4
Ginn and Company,4
Wesern Publishing,4
Fawcett Columbine,4
Alfred A Knopf,4
Coward-McCann Inc,4
Whitman Publishing Company,4
Berkley Prime Crime,4
Health Tec Inc,4
Regnery Publishing Inc,3
Nevada Publications,3
Paperback Library,3
Andrews and McMeel,3
HarperPerennial,3
Wings Book,3
Publications International Ltd,3
W B Saunders Company,3
Scholastic Book Services,3
Hallmark Editions,3
The MacMillan Co,3
Oxford University Press,3
P F Collier & Son,3
Harper Collins Publishers,3
Theo Audel & Co Publishers,3
North Light Books,3
Scholistic Inc,3
Parker Publishing,3
Holt Rinehart and Winston,3
Addison-Wesley,3
A Perigee Book,3
The Goldsmith Publishing Co,3
Ginn & Company,3
A Fawcett Crest,3
Tom Doherty,3
Prima Publishing,3
Andrews McMeel,3
Orion,3
Doubleday Page & Co,3
Signet Classics,3
Archway,3
Troll,3
Crescent Books,3
Regan Books,3
Berklely Prime Crime,3
